Actors,x,y
Seth_Gabel,0.5561429842233968,-0.747648145741927
Bryce_Dallas_Howard,0.5659414620584795,-0.7610353664654139
Kevin_Gage_(actor),-0.40976394497638446,0.6031273169457609
Kelly_Preston,-0.4045305672690464,0.6052422775429818
Gene_Gabriel,-0.12513018876373205,-0.9557717232956385
Stacey_Tookey,-0.12660665877029867,-0.9674299474003878
Martin_Gabel,0.341160194778068,-0.726316356519172
Arlene_Francis,0.3374114649371941,-0.7188394836344975
Jim_Gaffigan,0.06983879337424528,-0.7476599933892757
Jeannie_Gaffigan,0.07400138436276484,-0.751607049920056
Clark_Gable,-0.13908414084230242,-0.11774905980775319
Josephine_Dillon,-0.1481494274866831,-0.12186974817909262
Carole_Lombard,-0.1403559501269741,-0.10531158186137365
Sylvia_Ashley,-0.1367084105174696,-0.1332026979056099
Kay_Williams,-0.1472358374692383,-0.11531858679121679
William_Daniels,-0.956872114831159,0.31343455956838445
Bonnie_Bartlett,-0.9356754280256849,0.30676299929835726
"Anthony_Ashley-Cooper,_Lord_Ashley",-0.14559554665261085,-0.1356704655279913
Douglas_Fairbanks,-0.12709639195408962,-0.14301774141466717
"Edward_John_Stanley,_6th_Baron_Sheffield_and_Stanley_of_Alderley",-0.1390648206032832,-0.14168149541382832
Dimitri_Djordjadze,-0.14764430954559998,-0.14318136642610732
William_Powell,-0.14689272159179875,-0.09714133113426372
Frank_De_Vol,-0.03700724018275579,0.6933995989720783
Helen_O%27Connell,-0.041343894909121985,0.6973262904384302
Audrey_Emery,-0.15606776074950135,-0.15083853220038165
Mary_Pickford,-0.12598808798641817,-0.1567842409161673
Diana_Lewis,-0.15620042931511108,-0.09560047956464494
Dean_Devlin,-0.8472572099908753,0.397224990708704
Lisa_Brenner,-0.8268217036216353,0.38770755775408505
Don_Devlin,-0.8831140225640183,0.4384498721581372
Pilar_Seurat,-0.8696848904644239,0.4319891215679561
Owen_Moore,-0.1237972506818094,-0.16768610564853498
Charles_%22Buddy%22_Rogers,-0.13270536635790764,-0.16569721543813587
Troy_Donahue,-0.005569900239438146,-0.8436582095668368
Suzanne_Pleshette,-0.0017082845857699445,-0.8359330174341323
George_Dolenz,-0.7681511675373077,0.2520001957010022
Janelle_Johnson,-0.7539967406356007,0.2479003240907894
Katherine_Perry,-0.12496854965491845,-0.1769858055034397
Tom_Poston,0.0013221811424412656,-0.8457015277292672
William_C._Dowlan,-0.09729684458398219,-0.8264754097532488
Leonora_Ainsworth,-0.09539699408753555,-0.8110878955468416
Robert_Downey_Sr.,-0.905085978714252,-0.22996780323853455
#cite_note-2,-0.9164593847821136,-0.23253860225673043
Robert_Downey_Jr.,-0.6592007248080801,0.28764064290030134
Deborah_Falconer,-0.6685547423936677,0.2906013863115366
Susan_Downey,-0.6576204143062873,0.29371527127485864
Howard_Duff,-0.27870371513883696,0.6620866764091824
Ida_Lupino,-0.27544189254973617,0.6505555922602858
Jean_Sullivan,0.0013605602254529788,-0.8647014705267821
Tom_Gallery,0.4922173244621448,-0.6626415786411292
ZaSu_Pitts,0.5035929153645607,-0.6776468201593356
Louis_Hayward,-0.2723517470738619,0.6601631183827946
Collier_Young,-0.2832898374444285,0.6440450647998168
Cameron_Dye,0.10059701904465407,0.8997001363663574
Laura_San_Giacomo,0.10571834943706576,0.895409480741619
William_Dowlan,-0.09374202383609717,-0.8056540001862768
Joan_Fontaine,-0.29326127166864263,0.6495791000337202
Matt_Adler,0.10474777422034778,0.8764278299027412
Nick_Eversman,-0.641902474496362,-0.43753755838114716
#cite_note-1,-0.6471174333358511,-0.43539841953555825
Chad_Everett,0.2666691084382827,0.8764241296445822
Shelby_Grant,0.26961109514924897,0.8814944309129958
Brian_Aherne,-0.30162564028184025,0.6553619598322203
William_Dozier,-0.2977289681143416,0.6614204146486106
Sean_Patrick_Flanery,-0.7200181807152751,0.4722465547312231
Lauren_Michelle_Hill,-0.7323948018022186,0.48100653174051805
James_Flavin,0.599208822973911,-0.6591975438254009
Lucile_Browne,0.6063298217397106,-0.6679525837545776
Ann_Rutherford,-0.30092176548064214,0.6691111393317344
Ed_Flanders,0.32482889535761883,0.7130291773925592
Ellen_Geer,0.3194903215106644,0.7064294118903305
Rodman_Flender,0.7896561575692284,-0.02655772369721397
Amy_Lippman,0.7973297467697988,-0.026876157237386986
Peter_Friedman,-0.8972612380859885,0.14814914418312797
Joan_Allen,-0.8755020773702573,0.1446821899227017
Dominic_Fumusa,-0.8798352930137903,-0.21490937601064264
Ilana_Levine,-0.9006259453406281,-0.2194766723773948
Edward_Furlong,-0.897200192265451,-0.15713318859349656
Rachael_Bella,-0.8891788838646245,-0.15624042790679554
Robert_Fuller_(actor),-0.05148994929380244,-0.9045766210055823
Jennifer_Savidge,-0.05130136294078718,-0.9101217170455131
Paul_Michael_Glaser,0.5718789276745251,-0.6772227312644213
Elizabeth_Glaser,0.5606703588186989,-0.6635122301953539
Randy_J._Goodwin,-0.46679835707555467,-0.7304556432531003
Wikipedia:Citation_needed,-0.47141215669375625,-0.7274993391062278
Louis_Gossett_Jr.,0.47609188938412356,0.7676333377653126
Annulled,0.48521923447765913,0.781808142591193
David_Graf,0.12931493448024944,-0.7414305660137083
Kathryn_Graf,0.1308732116024129,-0.7485109431924833
Topher_Grace,0.7037455395820433,0.41163327782393994
Ashley_Hinshaw,0.7089000223156487,0.4095582256537884
Robert_Goulet,0.4200278587890625,-0.7824869375656452
Carol_Lawrence,0.4162640651359353,-0.7743619371758208
Scott_Grimes,0.5789848638993814,0.536036321922606
